,df,dhf,dengue_cases,daily_rainf_total,highest_30min_rainf,highest_60min_rainf,highest_120min_rainf,mean_temp,max_temp,min_temp,mean_wind_speed,max_wind_speed,dengue_searches,dengue_fever_searches,dengue_symptoms_searches,daily_rainf_total_squared,highest_30min_rainf_squared,highest_60min_rainf_squared,highest_120min_rainf_squared
2017-03-19,32.0,0.0,32.0,2.7142857142857144,0.9714285714285714,1.2857142857142858,1.6285714285714288,26.75714285714286,30.228571428571428,24.685714285714287,13.785714285714286,39.32857142857143,11.0,4.0,1.0,7.367346938775511,0.9436734693877551,1.6530612244897962,2.6522448979591844
2017-03-26,49.0,1.0,50.0,4.971428571428571,1.7142857142857142,2.685714285714286,3.5142857142857147,27.057142857142857,30.885714285714283,24.75714285714286,9.057142857142857,32.08571428571428,11.0,3.0,1.0,24.71510204081632,2.9387755102040813,7.213061224489797,12.350204081632656
2017-04-02,37.0,0.0,37.0,7.3428571428571425,2.3428571428571425,2.742857142857143,3.6,26.557142857142857,29.642857142857142,24.3,11.0,34.57142857142857,11.0,3.0,3.0,53.91755102040816,5.488979591836733,7.5232653061224495,12.96
2017-04-09,32.0,0.0,32.0,0.0,0.0,0.0,0.0,27.17142857142857,30.97142857142857,24.82857142857143,10.842857142857143,30.099999999999998,13.0,4.0,2.0,0.0,0.0,0.0,0.0
2017-04-16,51.0,0.0,51.0,0.0,0.0,0.0,0.0,27.928571428571427,31.900000000000002,25.357142857142858,8.542857142857143,30.400000000000002,10.0,2.0,3.0,0.0,0.0,0.0,0.0
2017-04-23,37.0,0.0,37.0,3.114285714285714,1.2857142857142858,1.3428571428571427,2.057142857142857,28.085714285714285,31.82857142857143,25.585714285714285,8.228571428571428,28.47142857142857,11.0,2.0,5.0,9.69877551020408,1.6530612244897962,1.8032653061224486,4.231836734693877
2017-04-30,42.0,0.0,42.0,11.085714285714285,7.542857142857143,9.114285714285714,10.057142857142859,26.857142857142858,31.24285714285714,24.400000000000002,6.028571428571429,32.77142857142857,13.0,3.0,3.0,122.89306122448978,56.89469387755102,83.07020408163264,101.14612244897963
2017-05-07,48.0,0.0,48.0,7.114285714285714,5.314285714285715,6.257142857142857,6.771428571428571,27.928571428571427,32.3,25.071428571428573,6.285714285714286,31.02857142857143,8.0,2.0,2.0,50.61306122448979,28.24163265306123,39.15183673469388,45.85224489795918
2017-05-14,48.0,2.0,50.0,4.942857142857143,1.9428571428571428,3.4285714285714284,4.2,27.914285714285715,31.25714285714286,24.914285714285715,7.214285714285714,29.114285714285717,11.0,4.0,3.0,24.431836734693878,3.7746938775510204,11.755102040816325,17.64
2017-05-21,50.0,0.0,50.0,5.3999999999999995,3.4285714285714284,4.457142857142857,5.228571428571428,28.085714285714285,32.15714285714286,25.185714285714287,5.985714285714286,27.814285714285713,8.0,4.0,1.0,29.159999999999993,11.755102040816325,19.866122448979592,27.337959183673462
